Yelp Category,LOD Resource name,LOD Resource URL
Furniture Reupholstery,Furniture,http://dbpedia.org/resource/Furniture
Furniture Stores,Furniture,http://dbpedia.org/resource/Furniture
Furniture Stores,Retail,http://dbpedia.org/resource/Retail
Gas & Service Stations,Filling_station,http://dbpedia.org/resource/Filling_station
Gastropubs,Gastropub,http://dbpedia.org/resource/Gastropub
Gelato,Gelato,http://dbpedia.org/resource/Gelato
General Dentistry,Dentistry,http://dbpedia.org/resource/Dentistry
German,German_cuisine,http://dbpedia.org/resource/German_cuisine
Gift Shops,Gift_shop,http://dbpedia.org/resource/Gift_shop
Gluten-Free,Gluten_free_diet,http://dbpedia.org/resource/Gluten_free_diet
Gold Buyers,Jewellery,http://dbpedia.org/resource/Jewellery
Golf,Golf,http://dbpedia.org/resource/Golf
Graphic Design,Graphic_design,http://dbpedia.org/resource/Graphic_design
Greek,Greek_cuisine,http://dbpedia.org/resource/Greek_cuisine
Grocery,Grocery_store,http://dbpedia.org/resource/Grocery_store
Guitar Stores,Guitar,http://dbpedia.org/resource/Guitar
Guitar Stores,Retail,http://dbpedia.org/resource/Retail
Gun/Rifle Ranges,Shooting_range,http://dbpedia.org/resource/Shooting_range
Guns & Ammo,Ammunition,http://dbpedia.org/resource/Ammunition
Guns & Ammo,Gun,http://dbpedia.org/resource/Gun
Gyms,Gym,http://dbpedia.org/resource/Gym
Hair Extensions,Artificial_hair_integrations,http://dbpedia.org/resource/Artificial_hair_integrations
Hair Removal,Hair_removal,http://dbpedia.org/resource/Hair_removal
Hair Salons,Beauty_salon,http://dbpedia.org/resource/Beauty_salon
Hair Salons,Hairdresser,http://dbpedia.org/resource/Hairdresser
Hair Stylists,Hairdresser,http://dbpedia.org/resource/Hairdresser
Halal,Halal,http://dbpedia.org/resource/Halal
Hardware Stores,Hardware_store,http://dbpedia.org/resource/Hardware_store
Hawaiian,Cuisine_of_Hawaii,http://dbpedia.org/resource/Cuisine_of_Hawaii
Health & Medical,Health_facility,http://dbpedia.org/resource/Health_facility
Health Markets,Health_food_store,http://dbpedia.org/resource/Health_food_store
Health Retreats,Wellness_tourism,http://dbpedia.org/resource/Wellness_tourism
Heating & Air Conditioning/HVAC,HVAC,http://dbpedia.org/resource/HVAC
Herbs & Spices,Herb,http://dbpedia.org/resource/Herb
Herbs & Spices,Spice,http://dbpedia.org/resource/Spice
Hiking,Hiking,http://dbpedia.org/resource/Hiking
Hobby Shops,Hobby_shop,http://dbpedia.org/resource/Hobby_shop
Home & Garden,Back_garden,http://dbpedia.org/resource/Back_garden
Home Cleaning,Housekeeping,http://dbpedia.org/resource/Housekeeping
Home Decor,Home_accessories,http://dbpedia.org/resource/Home_accessories
Home Services,Home_improvement,http://dbpedia.org/resource/Home_improvement
Hookah Bars,Hookah_lounge,http://dbpedia.org/resource/Hookah_lounge
Hospitals,Hospital,http://dbpedia.org/resource/Hospital
Hot Dogs,Hot_dog,http://dbpedia.org/resource/Hot_dog
Hot Pot,Hot_pot,http://dbpedia.org/resource/Hot_pot
Hot Tub & Pool,Swimming_pool,http://dbpedia.org/resource/Swimming_pool
Hotel bar,Bar,http://dbpedia.org/resource/Bar
Hotel bar,Hotel,http://dbpedia.org/resource/Hotel
Hotels,Hotel,http://dbpedia.org/resource/Hotel
Hotels & Travel,Hotel,http://dbpedia.org/resource/Hotel
Hotels & Travel,Travel,http://dbpedia.org/resource/Travel
Ice Cream & Frozen Yogurt,Frozen_yogurt,http://dbpedia.org/resource/Frozen_yogurt
Ice Cream & Frozen Yogurt,Ice_cream,http://dbpedia.org/resource/Ice_cream
Indian,Indian_cuisine,http://dbpedia.org/resource/Indian_cuisine
Internet Cafes,Internet_café,http://dbpedia.org/resource/Internet_café
Internet Service Providers,Internet_service_provider,http://dbpedia.org/resource/Internet_service_provider
Irish,Irish_cuisine,http://dbpedia.org/resource/Irish_cuisine
Irish Pub,Irish_pub,http://dbpedia.org/resource/Irish_pub
IT Services & Computer Repair,Computer_repair_technician,http://dbpedia.org/resource/Computer_repair_technician
Italian,Italian_cuisine,http://dbpedia.org/resource/Italian_cuisine
Japanese,Japanese_cuisine,http://dbpedia.org/resource/Japanese_cuisine
Jazz & Blues,Blues,http://dbpedia.org/resource/Blues
Jazz & Blues,Jazz,http://dbpedia.org/resource/Jazz
Jewelry,Jewellery,http://dbpedia.org/resource/Jewellery
Jewelry Repair,Bench_jeweler,http://dbpedia.org/resource/Bench_jeweler
